City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,boulsa,12.6675,-0.5758,72.21,18,1,9.6,BF,1706662150
207,guerrero negro,27.9769,-114.0611,67.19,52,0,10.22,MX,1706662150
208,thurso,58.5927,-3.5259,43.86,72,100,27.13,GB,1706662150
209,tralee,52.2704,-9.7026,39.88,92,100,7.67,IE,1706662150
210,battle ground,45.7809,-122.5334,56.88,86,100,3.0,US,1706662151
211,invercargill,-46.4,168.35,64.02,75,92,13.0,NZ,1706662151
212,alesund,62.4723,6.1549,44.1,65,100,27.63,NO,1706662151
213,argo,37.6333,22.7333,41.5,81,92,24.27,GR,1706662151
214,crane,31.3974,-102.3501,61.32,35,66,6.06,US,1706662151
215,kendari,-3.945,122.4989,83.77,74,92,3.13,ID,1706662151
216,wailua homesteads,22.0669,-159.378,76.12,77,75,6.91,US,1706662152
217,ouadda,8.0777,22.4007,68.95,23,100,6.02,CF,1706662152
218,carutapera,-1.195,-46.02,78.85,87,51,6.33,BR,1706662152
219,prado,-17.3411,-39.2208,78.13,87,100,10.92,BR,1706662152
220,chinde,26.8418,88.0763,42.94,60,2,5.23,NP,1706662152
221,umba,66.6871,34.3429,31.06,84,41,13.8,RU,1706662153
222,bayeux,-7.125,-34.9322,79.43,89,0,4.61,BR,1706662153
223,hotan,37.0997,79.9269,28.72,54,85,4.54,CN,1706662153
224,georgetown,5.4112,100.3354,80.94,79,20,6.91,MY,1706662153
225,zemio,5.0314,25.1361,70.29,37,100,3.13,CF,1706662153
226,zelenogorsk,56.1147,94.5861,-21.23,100,93,1.43,RU,1706662153
227,tolanaro,-25.0319,46.9987,75.27,88,20,6.91,MG,1706662154
228,piacabucu,-10.4056,-36.4344,78.06,78,0,7.56,BR,1706662154
229,aripuana,-9.1667,-60.6333,79.5,76,100,0.74,BR,1706662154
230,port augusta,-32.5,137.7667,73.31,34,0,18.9,AU,1706662154
231,mount isa,-20.7333,139.5,78.57,89,100,21.85,AU,1706662154
232,howrah,22.5892,88.3103,66.2,94,75,5.75,IN,1706662154
233,mili,6.0815,171.735,80.67,83,100,11.16,MH,1706662155
234,dunedin,-45.8742,170.5036,78.08,90,8,5.99,NZ,1706662155
235,charters towers,-20.1,146.2667,93.13,47,78,5.39,AU,1706662155
236,leava,-14.3,-178.1667,84.81,84,82,17.9,WF,1706662155
237,alibag,18.6411,72.8792,73.47,70,96,7.72,IN,1706662155
238,lukolela,-1.0605,17.1821,75.13,67,100,2.71,CD,1706662156
239,i-n-salah,27.1935,2.4607,59.54,34,0,22.1,DZ,1706662156
240,hermanus,-34.4187,19.2345,68.81,83,100,9.44,ZA,1706662156
241,la ronge,55.1001,-105.2842,46.65,61,20,8.05,CA,1706662156
242,saint-philippe,-21.3585,55.7679,78.39,84,47,8.7,RE,1706662156
243,roven'ky,48.0833,39.3776,27.03,88,91,5.3,UA,1706662157
244,kerikeri,-35.2268,173.9474,79.3,54,27,8.39,NZ,1706662157
245,kushiro,42.975,144.3747,23.95,74,75,2.3,JP,1706662157
246,bitkine,11.9801,18.2138,68.9,19,2,9.89,TD,1706662157
247,lincoln,40.8,-96.667,43.27,75,0,3.44,US,1706661936
248,shetpe,44.1667,52.1167,25.74,73,94,13.91,KZ,1706662158
